Source,Target,Type,Id,Label,timeset,Weight,e_weight,e_crawldate
n1260,n30320,Directed,263997,,,1245,10,20190930
n1271,n30320,Directed,264005,,,100,25,20191024
n1276,n30320,Directed,264007,,,6,6,20191012
n1287,n30320,Directed,264008,,,93,8,20191024
n1289,n30320,Directed,264016,,,12,6,20191111
n1294,n30320,Directed,264018,,,6,6,20191012
n1332,n30320,Directed,264019,,,10,10,20191008
n1339,n30320,Directed,264020,,,253,6,20191013
n1349,n30320,Directed,264027,,,101,10,20191102
n1360,n30320,Directed,264035,,,4025,6,20191101
n1366,n30320,Directed,264046,,,15,6,20191102
n1368,n30320,Directed,264048,,,769,119,20190930
n1441,n30320,Directed,264053,,,36,6,20191111
n1448,n30320,Directed,264059,,,6,6,20191111
n1452,n30320,Directed,264060,,,9,9,20191020
n1475,n30320,Directed,264061,,,24,6,20191002
n1487,n30320,Directed,264065,,,12,6,20191102
n1509,n30320,Directed,264067,,,6,6,20190930
n1528,n30320,Directed,264068,,,47,6,20191101
n1533,n30320,Directed,264075,,,18,6,20191008
n1542,n30320,Directed,264078,,,14,6,20191012
n1545,n30320,Directed,264080,,,164,10,20191031
n1550,n30320,Directed,264094,,,6,6,20191008
n1551,n30320,Directed,264095,,,8,8,20191012
n1560,n30320,Directed,264096,,,38,38,20191030
n1568,n30320,Directed,264097,,,80,10,20191102
n1578,n30320,Directed,264105,,,30,10,20191102
n1588,n30320,Directed,264108,,,22,6,20190930
n1633,n30320,Directed,264111,,,6,6,20191111
n1651,n30320,Directed,264112,,,6,6,20191024
n1656,n30320,Directed,264113,,,7,7,20191020
n1664,n30320,Directed,264114,,,32,8,20191024
n1678,n30320,Directed,264117,,,110,10,20191024
n1686,n30320,Directed,264124,,,168,6,20190930
n1689,n30320,Directed,264132,,,36,6,20191013
n1700,n30320,Directed,264136,,,6,6,20191024
n1720,n30320,Directed,264137,,,10,10,20191002
n1725,n30320,Directed,264138,,,60,10,20191008
n1757,n30320,Directed,264144,,,32,6,20191012
n1768,n30320,Directed,264148,,,156,13,20191111
n1775,n30320,Directed,264155,,,14,14,20191020
n1779,n30320,Directed,264156,,,54,27,20191111
n1783,n30320,Directed,264158,,,63,9,20191102
n1806,n30320,Directed,264165,,,37,6,20191111
n1813,n30320,Directed,264170,,,48,6,20191020
n1830,n30320,Directed,264177,,,60,30,20191102
n1838,n30320,Directed,264179,,,42,6,20191111
n1862,n30320,Directed,264186,,,91,13,20191030
n1869,n30320,Directed,264193,,,40,12,20191024
n1877,n30320,Directed,264196,,,78,8,20191101
n1878,n30320,Directed,264204,,,30,10,20191012
n1884,n30320,Directed,264207,,,12,12,20191012
n1886,n30320,Directed,264208,,,1349,6,20191013
n1896,n30320,Directed,264222,,,16,6,20191030
n1902,n30320,Directed,264224,,,100,6,20191001
n1920,n30320,Directed,264233,,,12,12,20191020
n1926,n30320,Directed,264234,,,125,15,20191102
n1943,n30320,Directed,264241,,,394813,36,20190930
n1951,n30320,Directed,264272,,,14,7,20191008
n1968,n30320,Directed,264274,,,48,12,20191012
n1986,n30320,Directed,264278,,,208,6,20191112
n1987,n30320,Directed,264289,,,52,6,20191111
n2046,n30320,Directed,264297,,,50,8,20191111
n2067,n30320,Directed,264303,,,482,9,20191025
n2109,n30320,Directed,264313,,,28,8,20191112
n2129,n30320,Directed,264315,,,12,12,20191025
n2131,n30320,Directed,264316,,,16,6,20190930
n2150,n30320,Directed,264318,,,80,10,20191012
n2160,n30320,Directed,264326,,,6,6,20191020
n2174,n30320,Directed,264327,,,95,13,20191008
n2184,n30320,Directed,264334,,,24,6,20191002
n2200,n30320,Directed,264338,,,57,6,20191102
n2217,n30320,Directed,264345,,,8,8,20191008
n2229,n30320,Directed,264346,,,371,48,20191020
n2235,n30320,Directed,264353,,,36,6,20191021
n2239,n30320,Directed,264357,,,6,6,20191102
n2285,n30320,Directed,264358,,,81,39,20190930
n2294,n30320,Directed,264360,,,12,6,20191008
n2298,n30320,Directed,264362,,,1354,6,20191024
n2329,n30320,Directed,264372,,,136,10,20191020
n2365,n30320,Directed,264378,,,829,6,20191030
n2369,n30320,Directed,264390,,,105,8,20191101
n2375,n30320,Directed,264398,,,1250,11,20191013
n2377,n30320,Directed,264409,,,10,10,20191001
n2387,n30320,Directed,264410,,,66,6,20191102
n2402,n30320,Directed,264417,,,42,6,20191008
n2417,n30320,Directed,264424,,,200,6,20191024
n2438,n30320,Directed,264427,,,53,15,20191102
n2440,n30320,Directed,264430,,,36,6,20191020
n2455,n30320,Directed,264436,,,6,6,20191030
n2468,n30320,Directed,264437,,,384,14,20190930
n2469,n30320,Directed,264445,,,672,24,20191009
n2484,n30320,Directed,264455,,,6,6,20191008
n2495,n30320,Directed,264456,,,32,6,20191008
n2501,n30320,Directed,264461,,,14,6,20191101
n2506,n30320,Directed,264463,,,42,6,20191012
n2534,n30320,Directed,264470,,,61,6,20191024
n2552,n30320,Directed,264476,,,6,6,20191002
n2578,n30320,Directed,264477,,,20,20,20191111
n2581,n30320,Directed,264478,,,34,6,20191030
n2599,n30320,Directed,264483,,,21,7,20191102
n2601,n30320,Directed,264486,,,23,23,20191111
n2608,n30320,Directed,264487,,,59,7,20191102
n2611,n30320,Directed,264494,,,14,6,20191030
n2613,n30320,Directed,264496,,,8,8,20191111
n2621,n30320,Directed,264497,,,9,9,20191025
n2630,n30320,Directed,264498,,,4071,310,20190930
n2637,n30320,Directed,264507,,,36,36,20191012
