Source,Target,Type,Id,Label,timeset,Weight,e_weight,e_crawldate
n0,n0,Directed,0,,,30,15,20191002
n1943,n1,Directed,2,,,36,36,20191004
n30763,n1,Directed,3,,,53,6,20191024
n30337,n2,Directed,9,,,14,14,20191012
n3,n3,Directed,10,,,177,6,20191013
n11853,n3,Directed,20,,,436,7,20191112
n12337,n3,Directed,32,,,25,12,20191008
n20947,n3,Directed,34,,,111,6,20191102
n25221,n3,Directed,40,,,122,6,20191001
n6088,n4,Directed,49,,,186,24,20191102
n6,n6,Directed,56,,,52,6,20191012
n31392,n6,Directed,64,,,168,12,20191102
n15680,n7,Directed,73,,,393,21,20190930
n1943,n8,Directed,82,,,179,15,20191022
n14789,n9,Directed,89,,,14,14,20191111
n20617,n9,Directed,90,,,12,12,20191111
n10,n10,Directed,91,,,32,6,20191111
n12224,n10,Directed,94,,,8,8,20191025
n24359,n10,Directed,95,,,18,6,20191025
n39659,n10,Directed,97,,,12,6,20191024
n12,n12,Directed,99,,,259,37,20191030
n13,n13,Directed,106,,,280,35,20191012
n20400,n14,Directed,114,,,14,14,20191111
n15,n15,Directed,115,,,343,49,20191111
n35871,n16,Directed,122,,,72,8,20191012
n3753,n17,Directed,129,,,64,8,20191024
n33390,n18,Directed,137,,,49,7,20191102
n7486,n19,Directed,144,,,10,10,20191111
n9740,n20,Directed,145,,,48,6,20191012
n20614,n20,Directed,152,,,64,8,20191012
n7592,n21,Directed,159,,,8,8,20191112
n26870,n24,Directed,160,,,6,6,20191030
n5317,n25,Directed,161,,,104,13,20191101
n26,n26,Directed,169,,,10,10,20191030
n12224,n27,Directed,170,,,2801,40,20191031
n28,n28,Directed,177,,,10,10,20191030
n20438,n28,Directed,178,,,141,7,20191111
n30672,n29,Directed,181,,,6,6,20191012
n14603,n30,Directed,182,,,1412,63,20191111
n5729,n31,Directed,190,,,52,12,20191030
n10101,n32,Directed,193,,,8,8,20191020
n12774,n33,Directed,194,,,16,8,20191030
n21046,n34,Directed,196,,,144,8,20190930
n3357,n35,Directed,205,,,136,6,20191102
n31385,n36,Directed,212,,,18,8,20190930
n37,n37,Directed,214,,,99,12,20191030
n38,n38,Directed,222,,,95,95,20191112
n12224,n38,Directed,223,,,6,6,20191112
n34,n39,Directed,224,,,182,6,20191020
n209,n39,Directed,232,,,42,6,20191008
n272,n39,Directed,239,,,4990,1662,20191102
n288,n39,Directed,242,,,14,6,20191102
n336,n39,Directed,244,,,42,6,20191012
n435,n39,Directed,251,,,1262,52,20191001
n445,n39,Directed,261,,,36,6,20191024
n549,n39,Directed,267,,,70,8,20191102
n663,n39,Directed,274,,,42,6,20191102
n900,n39,Directed,281,,,36,6,20191008
n926,n39,Directed,287,,,7,7,20191024
n1026,n39,Directed,288,,,26,8,20191102
n1189,n39,Directed,291,,,6,6,20191111
n1271,n39,Directed,292,,,100,25,20191024
n1339,n39,Directed,294,,,253,6,20191013
n1360,n39,Directed,301,,,1366,68,20191008
n1366,n39,Directed,310,,,6,6,20191024
n1528,n39,Directed,311,,,47,6,20191101
n1578,n39,Directed,318,,,27,9,20191012
n1651,n39,Directed,321,,,6,6,20191024
n1664,n39,Directed,322,,,8,8,20191030
n1689,n39,Directed,323,,,36,6,20191012
n1779,n39,Directed,327,,,22,11,20191111
n1783,n39,Directed,329,,,70,10,20191030
n1862,n39,Directed,336,,,91,13,20191012
n1878,n39,Directed,343,,,36,12,20191008
n1884,n39,Directed,346,,,12,12,20191012
n1902,n39,Directed,347,,,49,7,20191008
n1968,n39,Directed,354,,,24,6,20191030
n1987,n39,Directed,358,,,52,6,20191030
n2217,n39,Directed,366,,,8,8,20191008
n2375,n39,Directed,367,,,550,8,20191112
n2387,n39,Directed,377,,,66,6,20191102
n2469,n39,Directed,384,,,281,10,20191009
n2812,n39,Directed,394,,,232,26,20191020
n2852,n39,Directed,402,,,8,8,20191008
n2918,n39,Directed,403,,,9,9,20191012
n2945,n39,Directed,404,,,1676,7,20191008
n3062,n39,Directed,416,,,26,8,20191102
n3098,n39,Directed,419,,,579,28,20191002
n3165,n39,Directed,428,,,24,6,20191102
n3229,n39,Directed,431,,,83,10,20191001
n3233,n39,Directed,438,,,21,7,20191012
n3288,n39,Directed,441,,,76,19,20191020
n3386,n39,Directed,445,,,118,16,20191024
n3415,n39,Directed,452,,,129,14,20191102
n3424,n39,Directed,460,,,24,6,20191102
n3436,n39,Directed,464,,,24,8,20191102
n3573,n39,Directed,467,,,91,13,20191102
n3614,n39,Directed,474,,,6660,402,20191001
n3723,n39,Directed,483,,,12,12,20191031
n3856,n39,Directed,484,,,600,75,20190930
n4023,n39,Directed,492,,,262,262,20191012
n4075,n39,Directed,493,,,57,19,20191008
n4125,n39,Directed,496,,,72,7,20191030
n4145,n39,Directed,502,,,14,7,20191012
n4254,n39,Directed,504,,,868,7,20191003
n4281,n39,Directed,532,,,540,130,20191008
n4408,n39,Directed,536,,,16,8,20191102
n4448,n39,Directed,538,,,27,9,20191024
n4472,n39,Directed,541,,,39,8,20190930
n4654,n39,Directed,544,,,63,12,20191008
n4676,n39,Directed,547,,,7,7,20191012
n4753,n39,Directed,548,,,105,15,20191008
n4754,n39,Directed,555,,,32,8,20191102
n4763,n39,Directed,558,,,6,6,20191008
n4865,n39,Directed,559,,,44,6,20191020
n4878,n39,Directed,564,,,7,7,20191020
n4923,n39,Directed,565,,,72,9,20191024
n5025,n39,Directed,573,,,56,8,20191102
n5043,n39,Directed,580,,,36,6,20191111
n5109,n39,Directed,586,,,282,39,20191024
n5252,n39,Directed,593,,,66,6,20191102
n5293,n39,Directed,600,,,20,8,20191102
n5386,n39,Directed,602,,,12,6,20191012
n5413,n39,Directed,604,,,24,8,20191008
n5438,n39,Directed,607,,,8,8,20191030
n5496,n39,Directed,608,,,6,6,20191025
n5524,n39,Directed,609,,,30,6,20191030
n5587,n39,Directed,614,,,46,46,20191021
n5601,n39,Directed,615,,,56,9,20191012
n5835,n39,Directed,621,,,266,7,20190930
n5907,n39,Directed,628,,,28,14,20191020
n5929,n39,Directed,630,,,7,7,20191102
n6051,n39,Directed,631,,,528,88,20191012
n6074,n39,Directed,637,,,50,6,20191101
n6121,n39,Directed,641,,,133,8,20191101
n6430,n39,Directed,650,,,10,10,20191102
n6471,n39,Directed,651,,,7,7,20191111
n6479,n39,Directed,652,,,1090,16,20190930
n6529,n39,Directed,661,,,20,6,20191008
n6748,n39,Directed,664,,,834,7,20191112
n6821,n39,Directed,674,,,20,6,20191024
n6965,n39,Directed,677,,,3305,16,20191101
n6980,n39,Directed,693,,,10,10,20191102
n7217,n39,Directed,694,,,841,21,20190930
n7264,n39,Directed,703,,,554,68,20191001
n7382,n39,Directed,711,,,66,6,20191101
n7428,n39,Directed,718,,,56,8,20191024
n7430,n39,Directed,725,,,502,57,20191111
n7509,n39,Directed,733,,,126,18,20191024
n7556,n39,Directed,740,,,16,8,20191012
n7614,n39,Directed,742,,,182,6,20191112
n7724,n39,Directed,745,,,22,11,20191111
n7773,n39,Directed,747,,,662,6,20191012
n7834,n39,Directed,756,,,49,7,20191008
n7843,n39,Directed,763,,,116,7,20191025
n7966,n39,Directed,771,,,6,6,20191111
n7994,n39,Directed,772,,,75,15,20191102
n8008,n39,Directed,777,,,28,7,20191008
n8048,n39,Directed,781,,,72,12,20191102
n8064,n39,Directed,787,,,100,7,20190930
n8076,n39,Directed,795,,,6,6,20191025
n8096,n39,Directed,796,,,19,19,20191102
n8109,n39,Directed,797,,,8,8,20190930
n8162,n39,Directed,798,,,120,12,20191024
n8337,n39,Directed,801,,,64,8,20190930
n8365,n39,Directed,806,,,352,36,20191008
n8614,n39,Directed,814,,,49,7,20190930
n8625,n39,Directed,821,,,6,6,20191020
n8691,n39,Directed,822,,,24,12,20191102
n8707,n39,Directed,824,,,182,26,20191012
n8715,n39,Directed,831,,,12,12,20191008
n8719,n39,Directed,832,,,31,31,20191013
n8731,n39,Directed,833,,,32,6,20191030
n8784,n39,Directed,837,,,42,6,20191020
n8899,n39,Directed,844,,,10,10,20191020
n8921,n39,Directed,845,,,35,7,20191020
n8941,n39,Directed,849,,,140,20,20191024
n8964,n39,Directed,856,,,36,6,20191012
n8967,n39,Directed,862,,,1755,115,20191111
n8972,n39,Directed,870,,,7,7,20191001
n9003,n39,Directed,871,,,77,11,20191012
n9084,n39,Directed,878,,,46,6,20191030
n9158,n39,Directed,884,,,12,6,20191024
n9411,n39,Directed,886,,,94,30,20191102
n9479,n39,Directed,889,,,6,6,20191025
n9520,n39,Directed,890,,,119,17,20191111
n9521,n39,Directed,897,,,308,60,20191102
n9538,n39,Directed,902,,,98,6,20191012
n9539,n39,Directed,909,,,84,12,20191012
n9562,n39,Directed,916,,,2693,39,20190930
n9595,n39,Directed,925,,,18,9,20191008
n9645,n39,Directed,927,,,570,52,20190930
n9683,n39,Directed,935,,,19,9,20191030
n9851,n39,Directed,937,,,56,8,20191102
n9867,n39,Directed,944,,,90,13,20191012
n9886,n39,Directed,946,,,85,10,20191111
n9887,n39,Directed,953,,,60,12,20191024
n9957,n39,Directed,958,,,36,6,20191008
n10014,n39,Directed,964,,,119,14,20191111
n10024,n39,Directed,972,,,543,6,20191013
n10085,n39,Directed,977,,,17,7,20191008
n10252,n39,Directed,979,,,294,16,20191101
n10268,n39,Directed,989,,,91,13,20191024
n10352,n39,Directed,996,,,36,6,20191030
n10363,n39,Directed,1002,,,64,64,20191024
n10461,n39,Directed,1003,,,594,74,20191102
n10471,n39,Directed,1011,,,33,9,20191101
n10700,n39,Directed,1014,,,62,12,20191025
n10741,n39,Directed,1018,,,73,9,20191102
n10805,n39,Directed,1025,,,6,6,20191030
n10820,n39,Directed,1026,,,176,6,20191101
n10827,n39,Directed,1034,,,12,12,20191008
n10872,n39,Directed,1035,,,42,6,20191024
n10938,n39,Directed,1042,,,18,6,20190930
n10941,n39,Directed,1045,,,766,86,20191111
n11043,n39,Directed,1053,,,63,6,20191020
n11132,n39,Directed,1061,,,6,6,20191030
n11329,n39,Directed,1062,,,6,6,20191025
n11345,n39,Directed,1063,,,6,6,20191001
n11397,n39,Directed,1064,,,2265,14,20190930
n11481,n39,Directed,1094,,,66,6,20191102
n11558,n39,Directed,1101,,,49,7,20191012
n11588,n39,Directed,1108,,,66,6,20191102
n11604,n39,Directed,1115,,,6,6,20191008
n11661,n39,Directed,1116,,,66,6,20191102
n11691,n39,Directed,1123,,,97,6,20191012
n11700,n39,Directed,1130,,,2678,54,20190930
n11760,n39,Directed,1139,,,2634,16,20190930
n11796,n39,Directed,1155,,,68,8,20191102
n11875,n39,Directed,1162,,,1096,98,20191102
n12009,n39,Directed,1170,,,91,13,20191008
n12049,n39,Directed,1177,,,7,7,20191024
n12050,n39,Directed,1178,,,6,6,20191102
n12224,n39,Directed,1179,,,48270,13,20191101
n12253,n39,Directed,1195,,,66,6,20191102
n12413,n39,Directed,1202,,,20,6,20191024
n12437,n39,Directed,1205,,,36,9,20191012
n12505,n39,Directed,1209,,,125,25,20191001
n12636,n39,Directed,1214,,,12,6,20191024
n12664,n39,Directed,1216,,,12,12,20191111
n12791,n39,Directed,1217,,,20,6,20191102
n13016,n39,Directed,1220,,,15,15,20191008
n13047,n39,Directed,1221,,,60,13,20191030
n13050,n39,Directed,1225,,,400,40,20191020
n13138,n39,Directed,1233,,,66,6,20191102
n13152,n39,Directed,1240,,,328,6,20191001
n13386,n39,Directed,1249,,,217,6,20191020
n13477,n39,Directed,1258,,,1826,18,20191101
n13485,n39,Directed,1268,,,44,6,20191020
n13490,n39,Directed,1274,,,40,10,20191008
n13876,n39,Directed,1278,,,131,16,20191012
n13950,n39,Directed,1285,,,102,12,20191030
n14119,n39,Directed,1293,,,11,11,20191024
n14236,n39,Directed,1294,,,22,7,20191024
n14251,n39,Directed,1296,,,11,11,20191020
n14354,n39,Directed,1297,,,6,6,20191002
n14426,n39,Directed,1298,,,66,6,20191101
n14453,n39,Directed,1305,,,334,13,20191024
n14465,n39,Directed,1307,,,6,6,20191030
n14467,n39,Directed,1308,,,6,6,20191111
n14641,n39,Directed,1309,,,21,7,20191102
n14661,n39,Directed,1312,,,24,12,20191102
n14696,n39,Directed,1314,,,10,10,20191020
n14749,n39,Directed,1315,,,7,7,20191030
n14793,n39,Directed,1316,,,239,11,20191001
n14848,n39,Directed,1324,,,454,6,20191112
n14875,n39,Directed,1335,,,26,13,20191030
n15076,n39,Directed,1337,,,750,6,20191101
n15151,n39,Directed,1347,,,63,9,20191020
n15184,n39,Directed,1354,,,154,22,20191030
n15338,n39,Directed,1361,,,8,8,20191009
n15388,n39,Directed,1362,,,1855,166,20191001
n15425,n39,Directed,1370,,,6,6,20191111
n15539,n39,Directed,1371,,,128,7,20191001
n15673,n39,Directed,1379,,,8,8,20191111
n15680,n39,Directed,1380,,,236,7,20190930
n15837,n39,Directed,1389,,,35,7,20191020
n15893,n39,Directed,1394,,,48,12,20191012
n15971,n39,Directed,1398,,,204,6,20191101
n15976,n39,Directed,1407,,,1455,241,20191008
n16111,n39,Directed,1413,,,15,15,20191012
n16246,n39,Directed,1414,,,382,41,20191102
n16255,n39,Directed,1421,,,21,7,20191111
n16266,n39,Directed,1423,,,12,12,20191021
n16269,n39,Directed,1424,,,60,8,20191008
n16353,n39,Directed,1428,,,380,9,20190930
n16604,n39,Directed,1437,,,8,8,20191025
n16625,n39,Directed,1438,,,14,14,20191111
n16680,n39,Directed,1439,,,759,8,20191013
n16768,n39,Directed,1450,,,34,6,20191024
n16969,n39,Directed,1455,,,126,6,20190930
n16982,n39,Directed,1464,,,128,9,20191001
n17053,n39,Directed,1471,,,6,6,20191008
n17113,n39,Directed,1472,,,8,8,20191030
n17142,n39,Directed,1473,,,7,7,20191030
n17158,n39,Directed,1474,,,25,11,20191024
n17204,n39,Directed,1476,,,56,8,20191102
n17223,n39,Directed,1480,,,152,16,20191102
n17243,n39,Directed,1488,,,42,6,20191024
n17291,n39,Directed,1495,,,974,44,20191001
n17379,n39,Directed,1504,,,119,17,20191008
n17483,n39,Directed,1511,,,288,57,20191020
n17612,n39,Directed,1516,,,38,19,20191001
n17650,n39,Directed,1518,,,27,9,20191024
n17709,n39,Directed,1521,,,28,7,20191024
n17774,n39,Directed,1525,,,8,8,20191024
n18004,n39,Directed,1526,,,6,6,20191001
n18007,n39,Directed,1527,,,12,12,20191025
n18010,n39,Directed,1528,,,263,10,20191102
n18097,n39,Directed,1536,,,50,25,20191030
n18126,n39,Directed,1538,,,18,9,20191008
n18151,n39,Directed,1540,,,7,7,20191008
n18154,n39,Directed,1541,,,112,28,20191024
n18217,n39,Directed,1544,,,280,28,20191111
n18270,n39,Directed,1552,,,6,6,20191102
n18289,n39,Directed,1553,,,14,6,20191102
n18330,n39,Directed,1555,,,66,6,20191101
n18401,n39,Directed,1562,,,436,22,20190930
n18486,n39,Directed,1571,,,310,34,20191111
n18554,n39,Directed,1579,,,66,6,20191102
n18611,n39,Directed,1586,,,6,6,20191008
n18731,n39,Directed,1587,,,6,6,20191030
n19134,n39,Directed,1588,,,9,9,20191024
n19266,n39,Directed,1589,,,63,13,20191030
n19325,n39,Directed,1593,,,16,8,20191012
n19366,n39,Directed,1595,,,84,12,20191012
n19512,n39,Directed,1602,,,112,16,20191008
n19532,n39,Directed,1609,,,6,6,20191024
n19566,n39,Directed,1610,,,20558,40,20191101
n19567,n39,Directed,1626,,,6,6,20191024
n19581,n39,Directed,1627,,,6,6,20191112
n19680,n39,Directed,1628,,,62,18,20191102
n19753,n39,Directed,1631,,,70,10,20191111
n19846,n39,Directed,1638,,,65,6,20191020
n19899,n39,Directed,1643,,,42,6,20191111
n19970,n39,Directed,1650,,,66,6,20191101
n19996,n39,Directed,1657,,,15,15,20191025
n20046,n39,Directed,1658,,,7,7,20191012
n20048,n39,Directed,1659,,,201,7,20190930
n20109,n39,Directed,1667,,,168,9,20191001
n20234,n39,Directed,1676,,,49,15,20191102
n20282,n39,Directed,1679,,,159,8,20191001
n20350,n39,Directed,1687,,,42,6,20191024
n20421,n39,Directed,1694,,,720,18,20190930
n20446,n39,Directed,1703,,,70,10,20191020
n20537,n39,Directed,1710,,,1570,9,20190930
n20708,n39,Directed,1718,,,2021,6,20191101
n20883,n39,Directed,1729,,,6,6,20191001
n20964,n39,Directed,1730,,,12,12,20191030
n20998,n39,Directed,1731,,,8,8,20191024
n21096,n39,Directed,1732,,,346,40,20191008
n21107,n39,Directed,1740,,,72,12,20191012
n21131,n39,Directed,1746,,,63,9,20191102
n21163,n39,Directed,1753,,,24,6,20191012
n21235,n39,Directed,1757,,,7503,10,20191025
n21261,n39,Directed,1770,,,36,6,20191021
n21319,n39,Directed,1774,,,36,6,20191030
n21427,n39,Directed,1780,,,76,8,20191020
n21438,n39,Directed,1787,,,6,6,20191111
n21452,n39,Directed,1788,,,1656,30,20191001
n21711,n39,Directed,1797,,,12,6,20191111
n21838,n39,Directed,1799,,,65,30,20191102
n22112,n39,Directed,1801,,,18,6,20190930
n22121,n39,Directed,1804,,,154,17,20191102
n22161,n39,Directed,1812,,,6,6,20191024
n22179,n39,Directed,1813,,,30,6,20191030
n22181,n39,Directed,1817,,,105,15,20191020
n22183,n39,Directed,1824,,,6,6,20191020
n22241,n39,Directed,1825,,,1012,102,20191111
n22277,n39,Directed,1833,,,61,6,20191102
n22408,n39,Directed,1840,,,120,15,20191102
n22481,n39,Directed,1848,,,21,9,20191020
n22526,n39,Directed,1850,,,9,9,20191102
n22710,n39,Directed,1851,,,30,10,20191102
n22742,n39,Directed,1854,,,25,7,20191012
n22752,n39,Directed,1857,,,70,10,20191008
n22817,n39,Directed,1864,,,77,11,20191111
n22843,n39,Directed,1871,,,72,9,20190930
n22965,n39,Directed,1879,,,157,28,20191020
n22970,n39,Directed,1884,,,10,10,20191024
n22999,n39,Directed,1885,,,24,8,20191001
n23005,n39,Directed,1888,,,774,94,20191008
n23069,n39,Directed,1896,,,18,18,20191024
n23143,n39,Directed,1897,,,8,8,20191024
n23222,n39,Directed,1898,,,11979,8,20191009
n23262,n39,Directed,1909,,,62,6,20191024
n23267,n39,Directed,1914,,,6,6,20191020
n23292,n39,Directed,1915,,,84,12,20191020
n23384,n39,Directed,1922,,,8430,398,20190930
n23524,n39,Directed,1931,,,51,15,20191102
n23741,n39,Directed,1934,,,4922,12,20190930
n23783,n39,Directed,1944,,,6,6,20191013
n23985,n39,Directed,1945,,,36,6,20191020
n23997,n39,Directed,1951,,,133,6,20191020
n24003,n39,Directed,1958,,,8,8,20191112
n24080,n39,Directed,1959,,,28,8,20191025
n24240,n39,Directed,1962,,,56,8,20191020
n24296,n39,Directed,1969,,,6,6,20191102
n24323,n39,Directed,1970,,,42,6,20191008
n24418,n39,Directed,1977,,,12,12,20191024
n24440,n39,Directed,1978,,,49,7,20191012
n24451,n39,Directed,1985,,,105,105,20191024
n24491,n39,Directed,1986,,,42,42,20191012
n24498,n39,Directed,1987,,,25,7,20191008
n24523,n39,Directed,1989,,,18,6,20191024
n24554,n39,Directed,1992,,,153,7,20191012
n24604,n39,Directed,1997,,,6,6,20191030
n24613,n39,Directed,1998,,,57,19,20191008
n24634,n39,Directed,2001,,,771,6,20191025
n24748,n39,Directed,2011,,,20,6,20191020
n24923,n39,Directed,2014,,,60,6,20191008
n25025,n39,Directed,2021,,,7,7,20191012
n25128,n39,Directed,2022,,,759,10,20191002
n25130,n39,Directed,2035,,,56,8,20191020
n25185,n39,Directed,2042,,,889,18,20190930
n25385,n39,Directed,2051,,,154,22,20191012
n25741,n39,Directed,2058,,,14,14,20190930
n25917,n39,Directed,2059,,,24,8,20191102
n25942,n39,Directed,2062,,,39,6,20191020
n25982,n39,Directed,2068,,,54,54,20191009
n26079,n39,Directed,2069,,,377,43,20191102
n26098,n39,Directed,2077,,,33,6,20191008
n26102,n39,Directed,2081,,,77,11,20191102
n26306,n39,Directed,2088,,,56,8,20191020
n26506,n39,Directed,2095,,,40,20,20191030
n26507,n39,Directed,2097,,,23,6,20191024
n26749,n39,Directed,2100,,,220,6,20191010
n26761,n39,Directed,2115,,,28,6,20191008
n26854,n39,Directed,2119,,,84,6,20191101
n26906,n39,Directed,2124,,,250,18,20190930
n26908,n39,Directed,2133,,,6,6,20191008
n26991,n39,Directed,2134,,,20,6,20191102
n27042,n39,Directed,2137,,,76,6,20191002
n27081,n39,Directed,2142,,,91,13,20191008
n27113,n39,Directed,2149,,,12,12,20191001
n27369,n39,Directed,2150,,,85,6,20191025
n27390,n39,Directed,2156,,,9,9,20191012
n27438,n39,Directed,2157,,,18,6,20191111
n27525,n39,Directed,2160,,,21,7,20191008
n27656,n39,Directed,2163,,,56,8,20191008
n27712,n39,Directed,2165,,,2124,86,20191112
n27728,n39,Directed,2178,,,70,10,20191102
n27729,n39,Directed,2185,,,3109,8,20190930
n27781,n39,Directed,2202,,,24,6,20191024
n27824,n39,Directed,2206,,,6,6,20191025
n27850,n39,Directed,2207,,,56,8,20191008
n27919,n39,Directed,2214,,,367,34,20191001
n28042,n39,Directed,2222,,,18,6,20191001
n28286,n39,Directed,2225,,,6,6,20191012
n28314,n39,Directed,2226,,,297,17,20191008
n28495,n39,Directed,2234,,,136,7,20191001
n28549,n39,Directed,2241,,,21,21,20191008
n28564,n39,Directed,2242,,,65,6,20191102
n28590,n39,Directed,2246,,,14,6,20191020
n28640,n39,Directed,2248,,,73,8,20191030
n28742,n39,Directed,2250,,,9,9,20191008
n28807,n39,Directed,2251,,,6,6,20191102
n28816,n39,Directed,2252,,,15,7,20191024
n28890,n39,Directed,2254,,,826,10,20191020
n28912,n39,Directed,2266,,,63,9,20191024
n28923,n39,Directed,2273,,,24,8,20191030
n28962,n39,Directed,2276,,,10,10,20191102
n29022,n39,Directed,2277,,,126,8,20191102
n29080,n39,Directed,2283,,,9,9,20191008
n29217,n39,Directed,2284,,,528,11,20191024
n29259,n39,Directed,2295,,,14,7,20191020
n29394,n39,Directed,2297,,,6,6,20191020
n29464,n39,Directed,2298,,,6,6,20191012
n29527,n39,Directed,2299,,,42,6,20191102
n29531,n39,Directed,2306,,,66,6,20191101
n29584,n39,Directed,2313,,,6,6,20191024
n29610,n39,Directed,2314,,,42,6,20191024
n29612,n39,Directed,2321,,,18,6,20191020
n29721,n39,Directed,2323,,,6,6,20191024
n29840,n39,Directed,2324,,,96,12,20191024
n29898,n39,Directed,2332,,,6,6,20191008
n29910,n39,Directed,2333,,,441,17,20191030
n29934,n39,Directed,2343,,,19,19,20191001
n29935,n39,Directed,2344,,,49,7,20191012
n30130,n39,Directed,2351,,,14,6,20191008
n30139,n39,Directed,2353,,,22,6,20191008
n30174,n39,Directed,2356,,,32,8,20191102
n30286,n39,Directed,2360,,,322,46,20191102
n30345,n39,Directed,2367,,,210,30,20191012
n30392,n39,Directed,2374,,,8,8,20191024
n30419,n39,Directed,2375,,,3548,93,20190930
n30429,n39,Directed,2384,,,16,6,20191020
n30430,n39,Directed,2386,,,86,8,20191030
n30436,n39,Directed,2392,,,25,6,20191111
n30487,n39,Directed,2396,,,55,7,20191024
n30631,n39,Directed,2403,,,17,8,20191102
n30843,n39,Directed,2405,,,54,26,20191102
n30845,n39,Directed,2407,,,12,12,20191030
n30857,n39,Directed,2408,,,64,9,20191012
n30878,n39,Directed,2415,,,7,7,20191012
n30879,n39,Directed,2416,,,20,9,20191024
n30900,n39,Directed,2418,,,10,10,20191025
n30908,n39,Directed,2419,,,77,11,20191030
n31017,n39,Directed,2426,,,53,10,20191101
n31020,n39,Directed,2429,,,27,9,20191012
n31021,n39,Directed,2432,,,31,31,20191001
n31086,n39,Directed,2433,,,27,27,20191001
n31129,n39,Directed,2434,,,6,6,20191020
n31563,n39,Directed,2435,,,205,21,20191001
n31568,n39,Directed,2443,,,6,6,20191012
n31608,n39,Directed,2444,,,18,6,20191020
n31629,n39,Directed,2447,,,6,6,20191112
n31668,n39,Directed,2448,,,70,34,20191013
n31912,n39,Directed,2450,,,14,7,20191025
n31992,n39,Directed,2452,,,42,6,20191008
n32005,n39,Directed,2459,,,16,6,20191024
n32010,n39,Directed,2461,,,36,9,20191001
n32018,n39,Directed,2465,,,1474,164,20191111
n32022,n39,Directed,2473,,,551,56,20191013
n32065,n39,Directed,2480,,,71,8,20191024
n32106,n39,Directed,2487,,,14,7,20191008
n32142,n39,Directed,2489,,,9,9,20191021
n32177,n39,Directed,2490,,,2515,6,20191030
n32201,n39,Directed,2512,,,452,56,20191030
n32218,n39,Directed,2519,,,34,6,20191024
n32245,n39,Directed,2523,,,66,6,20191102
n32345,n39,Directed,2530,,,66,6,20191102
n32354,n39,Directed,2537,,,145,16,20191024
n32372,n39,Directed,2545,,,221,26,20191020
n32414,n39,Directed,2553,,,66,6,20191101
n32429,n39,Directed,2560,,,16,8,20191008
n32439,n39,Directed,2562,,,77,11,20191030
n32522,n39,Directed,2569,,,18396,13,20191004
n32622,n39,Directed,2595,,,37,16,20191102
n32639,n39,Directed,2597,,,78,13,20191012
n32654,n39,Directed,2603,,,9,9,20191024
n32675,n39,Directed,2604,,,65,6,20191012
n32767,n39,Directed,2611,,,8,8,20191012
n32769,n39,Directed,2612,,,227,24,20191112
n32802,n39,Directed,2615,,,77,7,20191111
n32831,n39,Directed,2623,,,8,8,20191020
n32838,n39,Directed,2624,,,12,6,20191008
n33022,n39,Directed,2626,,,30,10,20191031
n33085,n39,Directed,2628,,,14,7,20191024
n33192,n39,Directed,2630,,,45,12,20191102
n33239,n39,Directed,2633,,,36,36,20191030
n33462,n39,Directed,2634,,,6,6,20191012
n33616,n39,Directed,2635,,,70,20,20191102
n33699,n39,Directed,2638,,,13,13,20191030
n33782,n39,Directed,2639,,,35,7,20191012
n33868,n39,Directed,2644,,,8,8,20191030
n33903,n39,Directed,2645,,,48,8,20191012
n33949,n39,Directed,2651,,,27,13,20191102
n33991,n39,Directed,2653,,,124,8,20191008
n34020,n39,Directed,2656,,,10,10,20191025
n34224,n39,Directed,2657,,,9,9,20191012
n34302,n39,Directed,2658,,,14,7,20191112
n34385,n39,Directed,2660,,,115,115,20191020
n34657,n39,Directed,2661,,,302,8,20191012
n34731,n39,Directed,2669,,,156,12,20191020
n34735,n39,Directed,2678,,,249,6,20191012
n34887,n39,Directed,2690,,,8,8,20191008
n35096,n39,Directed,2691,,,14,6,20191102
n35107,n39,Directed,2693,,,112,14,20191101
n35112,n39,Directed,2700,,,32,8,20191008
n35208,n39,Directed,2704,,,18,18,20191024
n35268,n39,Directed,2705,,,651,93,20191008
n35292,n39,Directed,2712,,,12,6,20191008
n35379,n39,Directed,2714,,,18,18,20191024
n35598,n39,Directed,2715,,,14,7,20191030
n35609,n39,Directed,2717,,,16,8,20191111
n35763,n39,Directed,2719,,,70,10,20191030
n35947,n39,Directed,2726,,,57,6,20191030
n36014,n39,Directed,2732,,,98,6,20191102
n36018,n39,Directed,2739,,,187,23,20191012
n36104,n39,Directed,2747,,,120,20,20191012
n36129,n39,Directed,2753,,,36,6,20191012
n36199,n39,Directed,2759,,,6,6,20191024
n36593,n39,Directed,2760,,,176,22,20191008
n36654,n39,Directed,2768,,,6,6,20191012
n36658,n39,Directed,2769,,,63,9,20191020
n36781,n39,Directed,2776,,,36,10,20191025
n36825,n39,Directed,2778,,,802,20,20190930
n36918,n39,Directed,2787,,,30,6,20191111
n37009,n39,Directed,2792,,,210,28,20191030
n37017,n39,Directed,2797,,,16,16,20191025
n37042,n39,Directed,2798,,,48,6,20191020
n37122,n39,Directed,2806,,,8,8,20191008
n37283,n39,Directed,2807,,,28,6,20191102
n37383,n39,Directed,2810,,,52,52,20191020
n37430,n39,Directed,2811,,,60,10,20191111
n37625,n39,Directed,2817,,,18,18,20191012
n37671,n39,Directed,2818,,,12,6,20191020
n37904,n39,Directed,2820,,,3890,20,20191112
