county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Monmouth,Little Silver,"5,950",0.29,1.75,3.01,6.12,15.76
Sussex,Franklin,"5,045",2.18,1.74,7.83,5.53,13.06
Sussex,Hampton Twp,"5,196",0.83,1.19,3.85,4,14.78
Sussex,Byram,"8,350",1.47,2.14,4.99,5.47,10.1
Sussex,Sparta,"19,722",1,2.49,5.34,5.5,11.14
Burlington,Moorestown,"20,726",6.42,6,3.48,4.74,16.21
Sussex,Wantage,"11,358",1.21,0.99,5.23,5.16,11.82
Burlington,Pemberton Twp,"27,912",20.49,2.89,11.92,7.07,11.67
Bergen,Teterboro,67,4.48,2.99,35.82,8.96,13.43
Sussex,Hopatcong,"15,147",2.91,2.25,11.32,5.78,9.83
Burlington,Chesterfield,"7,699",29.12,8.35,13.08,5.82,5.39
Sussex,Newton,"7,997",4.88,2.98,12.34,6.04,18.52
Warren,Phillipsburg,"14,950",7.49,1.53,11.82,7.58,13.21
Warren,Hardwick,"1,696",0.94,0.65,3.95,4.25,12.56
Ocean,Lakehurst,"2,654",10.81,2.11,13.07,7.35,6.97
Warren,Harmony,"2,667",0.67,0.19,1.31,4.24,16.05
Ocean,Lacey,"27,644",0.6,0.8,4.74,5.47,14.79
Warren,Frelinghuysen,"2,230",0.63,0.54,2.56,3.72,17.76
Union,Clark,"14,756",0.84,3.71,7.5,4.95,18.53
Ocean,Jackson,"54,856",4.86,2.95,7.83,5.38,14.81
Warren,Greenwich,"5,712",6.36,6.16,6.37,6.43,6.41
Union,Fanwood,"7,318",5.3,6.75,6.26,7.83,13.95
Ocean,Island Heights,"1,673",0.24,1.37,2.39,4.54,17.63
Warren,Alpha,"2,369",2.41,1.52,5.28,5.91,15.62
Warren,Blairstown,"5,967",1.12,1.14,3.79,4.61,15.5
Ocean,Bay Head,968,0.52,0.72,1.03,2.58,34.4
Gloucester,Harrison Twp,"12,417",3.83,3.38,3.01,6.58,8.38
Mercer,Hopewell Twp,"17,304",2.1,8.89,3.31,4.62,14.15
Gloucester,Greenwich,"4,899",4,0.76,2.35,5.31,18.02
Ocean,Beach Haven,"1,170",0.34,0.77,9.91,2.05,25.04
Mercer,Hopewell,"1,922",1.51,0.68,3.69,6.45,11.08
Mercer,Hamilton,"88,464",11.78,3.29,10.87,5.18,15.78
Gloucester,Franklin Twp,"16,820",7.18,1.27,4.49,5.45,10.51
Mercer,East Windsor,"27,190",8.62,17.66,19.64,6.98,11.59
Gloucester,East Greenwich,"9,555",5.86,3.61,3.02,8.48,10.54
Ocean,Eagleswood,"1,603",0.87,0.62,3.37,4.68,13.54
Ocean,Harvey Cedars,337,0.59,0.3,0.89,0.89,41.84
Ocean,Beachwood,"11,045",1.79,1.5,8.13,6.42,9
Ocean,Brick,"75,072",2,1.56,7.06,5.04,17.94
Gloucester,Mantua,"15,217",2.5,1.1,2.95,5.12,12.78
Essex,Orange,"30,134",71.83,1.51,21.67,7.75,11.16
Middlesex,Dunellen,"7,227",8.62,4.51,26.75,6.25,9.67
Middlesex,Cranbury,"3,857",3.45,13.74,2.57,3.5,16.65
Mercer,West Windsor,"27,165",3.67,37.71,4.47,5.94,10.77
Gloucester,Deptford,"30,561",12.16,4.45,5.99,6.14,15.04
Essex,West Orange,"46,207",26.58,7.96,16.2,6.61,15.93
Mercer,Robbinsville,"13,642",3.12,12.67,4.13,6.47,9.67
Essex,West Caldwell,"10,759",1.26,3.91,4.86,5.12,19.46
