county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Essex,Millburn,"20,149",1.63,15.66,3.49,6.15,11.29
Essex,Irvington,"53,926",85.41,0.87,10.6,7.86,8.95
Cumberland,Upper Deerfield,"7,660",12.96,2.65,9.43,6.24,16.36
Cumberland,Millville,"28,400",19.83,1.19,14.93,6.95,13.23
Essex,Cedar Grove,"12,411",2.47,6.53,5.86,4.85,23.75
Essex,Belleville,"35,926",9.12,12,39.34,6.1,11.87
Essex,Roseland,"5,819",1.82,5.79,4.5,4.43,22.03
Essex,Verona,"13,332",1.97,4.03,5.96,5.78,19.28
Gloucester,Clayton,"8,179",18.01,1.8,5.95,7.07,10.25
Gloucester,Glassboro,"18,579",18.67,2.87,7.42,5.74,10.66
Essex,North Caldwell,"6,183",0.73,5.73,4.21,5.66,14.07
Bergen,Woodcliff Lake,"5,730",0.82,6.47,5.41,4.92,16.39
Sussex,Andover Twp,"6,319",3.37,2.6,5.14,4.89,16.02
Bergen,Wood-Ridge,"7,626",1.43,7.13,13.11,4.93,14.73
Somerset,Watchung,"5,801",3.45,12.69,5.29,4.52,21.12
Bergen,Washington Twp,"9,102",1.08,6.47,5.44,5.39,19.94
Bergen,Waldwick,"9,625",1.08,4.99,8.62,6.52,14.49
Sussex,Green,"3,601",1.25,1.72,4.8,5.97,10.77
Sussex,Fredon,"3,437",0.52,1.69,3.7,4.36,13.65
Sussex,Frankford,"5,565",0.99,0.88,3.16,4.42,16.55
Burlington,Bordentown,"3,924",10.12,2.73,5.81,5.66,13.46
Burlington,Bass River,"1,443",0.28,0.76,3.12,4.92,12.96
Sussex,Branchville,841,0.36,1.07,3.92,6.06,16.77
Sussex,Lafayette,"2,538",1.58,0.75,5.08,3.9,12.81
Sussex,Montague,"3,847",2.63,1.01,6.39,5.74,13.93
Sussex,Hamburg,"3,277",2.01,2.04,6.87,7.11,11.75
Sussex,Hardyston,"8,213",2.61,3.01,5.56,5.93,14.54
Bergen,Tenafly,"14,488",0.88,26.22,5.36,5.02,13.48
Bergen,Upper Saddle River,"8,208",1.44,10.09,4.33,5.08,13.13
Bergen,Saddle Brook,"13,659",2.31,8.21,12.2,5.2,16.54
Bergen,South Hackensack,"2,378",5.34,5.3,33.31,6.31,15.94
Bergen,Ramsey,"14,473",0.65,6.66,5.98,5.38,12.73
Bergen,Paramus,"26,342",1.42,22.28,7.26,3.99,21.88
Bergen,Ridgewood,"24,958",1.59,12.99,5.27,6.21,12.47
Somerset,Branchburg,"14,459",2.25,8.4,4.45,5.82,11.05
Bergen,Ridgefield,"11,032",1.2,29.06,21.41,5.11,14.31
Bergen,Rochelle Park,"5,530",2.89,8.72,16.35,5.17,19.93
Somerset,Franklin Twp,"62,300",26.55,19.98,12.92,6.96,13.66
Bergen,River Vale,"9,659",0.7,8.42,4.98,4.99,15.87
Somerset,Bridgewater,"44,464",2.38,17.83,6.76,5.56,14.65
Somerset,Millstone,418,1.2,1.67,3.59,6.7,16.03
Bergen,Rutherford,"18,061",2.92,13.08,14.08,5.1,13.52
Somerset,Hillsborough,"38,303",4.59,12.38,7.55,5.74,9.28
Somerset,Montgomery,"22,254",2.84,25.61,4.57,4.75,9.89
Somerset,Peapack Gladstone,"2,582",4.07,1.94,10.88,4.61,12.01
Somerset,Rocky Hill,682,1.47,2.35,4.84,4.4,18.48
Somerset,Somerville,"12,098",12.15,11.37,23.75,6.94,10.99
Somerset,Warren,"15,311",1.52,15.07,5.36,4.3,13.45
Bergen,Oakland,"12,754",0.89,4.17,5.34,5.32,14.17
Bergen,Old Tappan,"5,750",0.73,22.24,5.01,3.76,16.14
Bergen,Palisades Park,"19,622",1.96,57.84,18.22,6.41,11.37
Monmouth,Wall,"26,164",2.44,1.61,3.47,4.62,17.08
Monmouth,Tinton Falls,"17,892",9.34,4.67,6.25,5.02,25.56
Monmouth,Spring Lake,"2,993",0.27,1,1.9,4.74,27.43
Monmouth,Rumson,"7,122",0.25,1.26,2.43,6.09,11.35
Monmouth,Oceanport,"5,832",3,1.59,4.05,4.85,16.08
Monmouth,Neptune Twp,"27,935",38.56,2.26,9.33,5.15,16.46
Monmouth,Millstone Twp,"10,566",3.59,4.51,5.48,4.25,8.14
Monmouth,Howell,"51,075",3.65,4.52,8.13,5.72,10
Monmouth,Matawan,"8,810",7.04,6.41,10.77,6.8,11.66
Monmouth,Loch Arbour,194,1.55,1.55,3.61,3.09,15.46
Monmouth,Keyport,"7,240",7.2,2.38,18.26,6.09,15.79
Monmouth,Hazlet,"20,334",1.48,3.4,7.87,4.99,14.58
Monmouth,Freehold,"12,052",12.57,2.89,42.87,8.2,11
Monmouth,Fair Haven,"6,121",2.5,1.08,2.7,7.6,9.57
Cumberland,Bridgeton,"25,349",35.49,0.6,43.58,9.95,7.15
Cape May,Woodbine,"2,472",24.72,0.73,23.22,6.8,13.19
Monmouth,Bradley Beach,"4,298",4.96,1.81,19.54,4.93,13.96
Cumberland,Fairfield,"6,295",47.53,0.44,12.84,4.4,13.2
Monmouth,Avon By The Sea,"1,901",0.32,0.63,3.73,2.63,23.93
Cumberland,Deerfield,"3,119",12.06,1.35,14.08,5.45,13.18
Monmouth,Allentown,"1,828",4.43,1.53,3.56,4.1,11.38
Monmouth,Aberdeen,"18,210",11.87,6.43,10.43,6.74,10.59
Cumberland,Lawrence,"3,290",9.24,0.4,11.37,6.14,10.94
Middlesex,South River,"16,008",7.13,4.84,18.2,6.27,11.83
Cumberland,Greenwich,804,3.73,0.5,2.61,4.85,18.03
Sussex,Vernon,"23,943",1.39,0.78,6.41,5,8.43
Middlesex,South Brunswick,"43,417",7.71,35.91,6.04,5.69,9.37
Sussex,Sussex,"2,130",1.92,2.3,7.93,5.82,12.25
Burlington,Maple Shade,"19,131",9.54,5.65,8.32,5.97,13.22
Union,Berkeley Heights,"13,183",1.49,10.43,5.12,5.73,17.45
Sussex,Walpack,16,0,0,0,12.5,25
Burlington,Fieldsboro,540,12.59,2.04,2.78,6.11,10.56
Sussex,Ogdensburg,"2,410",0.33,1.83,6.27,5.6,11.41
Burlington,Edgewater Park,"8,881",27.32,3.19,10.92,6.05,15.8
Sussex,Stanhope,"3,610",1.58,2.33,8.5,5.79,10.36
Burlington,Lumberton,"12,559",18.93,4.71,5.86,6.31,10.45
Sussex,Sandyston,"1,998",0.4,0.55,3.4,5.26,11.71
Burlington,Florence,"12,109",12.23,5.04,4.76,6.08,12.67
Burlington,Burlington Twp,"22,594",27.98,7.04,7.05,6.21,12.03
Burlington,Cinnaminson,"15,569",5.49,2.38,3.07,4.7,18.23
Burlington,Delanco,"4,283",10.97,1.87,3.55,5.58,16.09
Burlington,Eastampton,"6,069",16.97,4.48,8.29,5.42,8.73
Union,Cranford,"22,625",2.62,2.84,6.51,5.68,17.18
Union,Elizabeth,"124,969",21.08,2.08,59.5,7.96,9.19
Union,Garwood,"4,226",1.06,2.04,8.83,5.18,15.19
Burlington,Bordentown Twp,"11,367",10.7,10.57,6.02,7.37,10.62
Cumberland,Maurice River,"7,976",36.03,0.35,11.52,2.38,7.02
Cumberland,Shiloh,516,1.74,0.19,4.07,5.43,15.5
Cumberland,Stow Creek,"1,431",4.47,0.28,4.4,5.17,17.61
Cumberland,Vineland,"60,724",14.16,1.71,38.03,6.97,13.93
Middlesex,New Brunswick,"55,181",16.04,7.6,49.93,7.17,5.17
Middlesex,Plainsboro,"22,999",8.03,46.22,6.21,6.18,7.48
Morris,Parsippany-Troy Hills,"53,238",3.52,29.09,8.32,5.69,13.71
Morris,Randolph,"25,734",2.68,10.46,10.17,5.69,9.24
Cape May,Dennis,"6,467",0.79,0.56,1.81,3.97,14.97
Cape May,Middle Township,"18,911",10.41,1.79,5.09,5.03,19.01
Cape May,Avalon,"1,334",0.3,0.22,2.17,2.4,40.48
Cape May,Cape May Point,291,2.75,0.34,0.34,0.34,55.67
Camden,Woodlynne,"2,978",33.55,9.7,38.28,7.56,6.15
Cape May,Wildwood,"5,325",11.15,0.79,31.21,7.68,13.52
Cape May,West Wildwood,603,1.49,0,2.65,4.64,27.69
Cape May,Upper Township,"12,373",0.58,0.74,2.36,5.14,14.27
Cape May,Sea Isle City,"2,114",0.09,0.19,2.41,2.51,32.31
Cape May,North Wildwood,"4,041",1.14,0.35,4.03,3.93,30.56
Ocean,South Toms River,"3,684",19.33,0.62,19.49,6.6,8.82
Ocean,Seaside Park,"1,579",0.95,0.38,3.42,2.85,26.73
Morris,Rockaway Twp,"24,156",2.55,6.67,11.2,5.53,14.14
Morris,Rockaway,"6,438",3.22,7.66,15.07,5.42,12.26
Passaic,Clifton,"84,136",4.92,8.9,31.92,6.13,13.92
Ocean,Tuckerton,"3,347",0.75,1.05,6.07,6.42,17.6
Ocean,Toms River,"91,239",2.7,3.58,7.93,5.05,17.3
Ocean,Stafford,"26,535",1.05,1.48,5.31,4.79,19.64
Morris,Kinnelon,"10,248",0.91,4.26,4.08,4.26,12.18
Camden,Laurel Springs,"1,908",3.46,1,3.88,5.82,12.05
Camden,Lindenwold,"17,613",34.66,2.8,20.85,8.33,9.4
Camden,Merchantville,"3,821",13.01,2.28,11.62,7.07,12.88
Camden,Mount Ephraim,"4,676",2.14,0.68,5.33,5.62,13.96
Camden,Waterford,"10,649",4.83,1.16,4.39,5.75,9.87
Camden,Voorhees,"29,131",8.7,16.13,3.43,4.58,16.53
Morris,Netcong,"3,232",3.9,2.78,17.7,5.14,13.61
Camden,Pine Valley,12,0,0,16.67,0,0
Camden,Pennsauken,"35,885",26.87,7.72,26.91,6.15,12.87
Camden,Stratford,"7,040",8.24,4.22,6.49,5.71,14.3
Camden,Runnemede,"8,468",4.72,2.63,6.09,5.79,14.66
Morris,Madison,"15,845",2.96,5.51,8.87,5.92,14.24
Morris,Lincoln Park,"10,521",1.83,7.38,9.59,5.09,15.9
Morris,Mine Hill,"3,651",4.6,4.96,23.01,5.61,12.24
Morris,Mendham,"4,981",1.02,2.05,2.71,5.22,18.99
Morris,Morris Twp,"22,306",5.65,5.12,7.55,6,17.44
Morris,Montville,"21,528",1.28,18.07,4.18,4.93,14.55
Morris,Mount Olive,"28,117",5.74,8.23,11.51,6.41,9
Morris,Morristown,"18,411",13.97,4.34,34.09,5.84,11.46
Salem,Oldmans,"1,773",7.73,0.9,6.99,5.92,13.42
Salem,Pennsville,"13,409",1.54,1.42,3.07,5.37,15.59
Salem,Elsinboro,"1,036",3.47,0.39,2.22,4.54,20.37
Salem,Lower Alloways Creek,"1,770",1.36,0.17,1.53,4.75,17.29
Camden,Berlin Twp,"5,357",11.57,5.13,8.29,6.31,14.08
Camden,Camden,"77,344",48.07,2.12,47.04,9.21,7.55
Camden,Bellmawr,"11,583",2.46,5.86,7.68,5.59,17.02
Camden,Gloucester City,"11,456",3.07,2.68,6.7,6.4,12.8
Camden,Collingswood,"13,926",9.11,2.2,9.67,6.25,13.5
Camden,Clementon,"5,000",19.12,2.1,10.3,6.88,11.04
Camden,Cherry Hill,"71,045",6.14,11.69,5.64,5.29,17.71
Camden,Hi-Nella,870,15.06,4.02,10.57,6.44,9.31
Camden,Haddon Twp,"14,707",1.5,2.71,3.95,5.9,17.24
Camden,Haddon Heights,"7,473",1.12,1.31,2.65,6.18,15.99
Somerset,Bernardsville,"7,707",0.88,3.27,11.72,5.92,12.21
Somerset,Bernards Twp,"26,652",1.89,13.8,3.95,5.21,13.46
Salem,Woodstown,"3,505",11.44,1.17,5.56,5.42,14.49
Salem,Salem,"5,146",62.13,0.39,6.68,8.53,12.46
Salem,Quinton,"2,666",12.9,0.38,4.01,5.96,16.24
Salem,Pilesgrove,"4,016",5.93,0.92,2.59,4.26,20.99
Passaic,Hawthorne,"18,791",2.27,2.82,15.42,5.76,14.4
Passaic,Little Falls,"14,432",4.11,4.56,9.89,3.6,13.01
Passaic,Passaic,"69,781",10.64,4.36,71.02,9.9,7.75
Somerset,Bedminster,"8,165",2.06,8.68,6.36,4.89,14.07
Somerset,South Bound Brook,"4,563",10.1,6.14,27.28,7.25,8.92
Warren,Washington Twp,"6,651",2.5,1.91,4.39,5.26,12.98
Sussex,Stillwater,"4,099",0.66,0.71,2.2,4.32,11.2
Burlington,Washington Twp,687,1.89,0.15,9.02,4.37,14.99
Burlington,Tabernacle,"6,949",1.38,0.69,2.76,4.37,11.18
Burlington,Wrightstown,802,21.07,5.99,28.05,7.98,7.86
Burlington,Willingboro,"31,629",72.74,2.01,8.65,5.76,15.93
Camden,Barrington,"6,983",5.13,1.69,5.44,6.2,15.81
Camden,Audubon,"8,819",1.44,1.13,3.29,6.13,13.2
Passaic,Woodland Park,"11,819",4.23,4.2,20.66,5.77,17.62
Passaic,West Milford,"25,850",1.4,1.29,5.85,5.4,12.61
Salem,Carneys Point,"8,049",16.91,0.81,11.18,5.75,18.74
Passaic,Prospect Park,"5,865",19.86,3.21,52.09,7.3,8.17
Passaic,Paterson,"146,199",31.68,3.34,57.63,8.02,8.9
Passaic,Wanaque,"11,116",3.07,4.65,9.67,5.22,18.16
Passaic,Totowa,"10,804",2.3,5.92,14.35,5.04,18.02
