county,municipal,ld,cd,registered,registered_perc,democrats_perc,republicans_perc,turnout
Ocean,Mantoloking,10,3,290,116.47,10.2,69.39,43.45
Middlesex,Edison,18,6,"60,088",60.23,-,-,23.31
Ocean,Ocean Twp,9,3,"7,201",79.24,18.53,40.68,33.95
Ocean,Pine Beach,9,3,"1,700",77.84,25.72,33.06,40.82
Middlesex,Sayreville,19,6,"29,066",65.8,-,-,26.19
Hudson,East Newark,32,8,"1,027",39.5,66.15,6.25,17.92
Gloucester,Woolwich,3,2,"8,854",68.32,31.8,26.18,27.13
Hudson,Hoboken,33,8,"40,661",77.19,44.08,15.2,26.28
Middlesex,North Brunswick,17,12,"27,118",65.45,-,-,17.75
Hudson,Guttenberg,32,8,"5,699",51.25,60.66,8.55,24.41
Middlesex,Monroe,14,12,"38,513",85.53,-,-,39.32
Middlesex,Piscataway,17,6,"37,702",66.33,-,-,22.01
Hudson,North Bergen,32,8,"35,959",59.27,61.08,9.38,18.69
Middlesex,Perth Amboy,19,6,"27,592",53.69,-,-,13.18
Hudson,Kearny,32,"8, 9","20,325",49.5,45.75,13.01,13.63
Morris,Mendham Twp,25,11,"5,137",90.73,23.59,40.9,38.41
Morris,Morris Plains,26,11,"4,713",21.27,29.39,37.3,41.78
Morris,Florham Park,27,11,"8,530",74.2,25.15,39.81,32.72
Morris,Long Hill,21,7,"6,747",80.04,24.29,36.64,46.2
Morris,Chester,25,7,"1,296",79.8,21.3,46.76,33.41
Morris,Dover,25,7,"8,432",47.57,49.73,14.12,41.41
Morris,Boonton,25,11,"6,063",67.98,30.08,35.07,40.11
Morris,Butler,26,11,"5,335",69.7,24.01,33.21,26.5
Morris,Mount Arlington,25,7,"4,628",79.08,23.73,40.23,28.5
Morris,Mountain Lakes,25,11,"3,536",83.73,29.75,30.66,33.82
Atlantic,Estell Manor,1,2,"1,363",78.83,33.38,66.62,48.28
Atlantic,Galloway,9,2,"26,423",74.18,54.95,45.05,32.97
Hunterdon,Flemington,16,7,"2,329",50.88,31.95,30.66,40.92
Atlantic,Egg Harbor Twp,2,2,"32,186",76.18,52,48,29.21
Hunterdon,Clinton Twp,23,7,"10,014",79.7,21.57,41.75,35.62
Hunterdon,East Amwell,15,7,"3,280",85.02,28.48,32.8,48.48
Hunterdon,Califon,23,7,825,78.87,31.76,36,38.18
Atlantic,Margate,2,2,"5,009",85.4,41.6,58.4,35.9
Atlantic,Hammonton,8,2,"9,473",67.98,42.42,57.58,39.29
Atlantic,Linwood,2,2,"5,673",85.21,40.08,59.92,37.63
Union,Scotch Plains,22,"7, 12","18,610",76.67,38.07,21.5,21.75
Union,Summit,21,7,"16,223",74.09,33.9,25.78,31.42
Warren,Belvidere,24,5,"1,910",74.58,22.12,41.6,27.85
Union,Kenilworth,21,7,"5,646",68.93,32.54,24,29.91
Warren,Franklin Twp,23,7,"2,336",77.25,20.12,42.32,24.4
Morris,Roxbury,25,7,"17,748",78.7,23.67,35.78,31.2
Union,New Providence,21,7,"9,424",69.32,27.75,31.47,35.91
Union,Hillside,20,10,"14,721",67.01,60.55,6.03,20.98
Union,Linden,22,10,"27,036",63.82,61.38,8.23,19.03
Union,Roselle,20,10,"14,329",65.7,65.36,4.96,15.63
Union,Mountainside,21,7,"5,519",80.16,27.43,31.96,43.94
Union,Rahway,22,10,"19,135",64.01,52.3,10.41,18.29
Union,Plainfield,22,12,"24,484",48.66,65.11,4.81,19.25
Union,Springfield,21,7,"12,511",71.64,37.51,19.31,29.1
Union,Roselle Park,21,10,"8,930",65.72,38.94,16.36,25.62
Union,Westfield,21,7,"23,845",80.8,35.73,23.92,39.37
Union,Union Twp,20,"7, 10","39,172",66.97,49.61,11.44,19.34
Warren,Hackettstown,23,5,"6,273",67.05,24.45,32.19,27.59
Warren,Allamuchy,24,5,"4,262",91.34,20.24,39.28,24.38
Atlantic,Weymouth,1,2,"2,056",72.52,44.08,55.92,44.6
Bergen,Alpine,37,5,"1,476",80.04,28.84,25.39,22.09
Bergen,Bergenfield,38,5,"17,460",63.89,42.65,15.26,35.83
Bergen,Carlstadt,36,9,"4,047",66,31.15,22.71,43.71
Atlantic,Mullica,2,2,"4,478",76.47,39.86,60.14,35.15
Atlantic,Pleasantville,2,2,"11,703",58.08,89.6,10.4,22.8
Atlantic,Port Republic,9,2,936,88.97,31.77,68.23,44.98
Atlantic,Ventnor,2,2,"7,154",72.3,51.12,48.88,30.5
Morris,Pequannock,40,11,"12,385",82.76,23.75,38.34,26.27
Bergen,Closter,39,5,"5,743",67.48,32.96,20.69,30.98
Bergen,Cresskill,37,9,"5,683",65.56,30.17,23.04,23.53
Warren,Mansfield,23,5,"5,387",73.18,20.79,38.33,20.85
Warren,Oxford,24,5,"1,697",70.07,20.67,40.56,37.54
Warren,Knowlton,24,5,"2,291",78.24,19.43,41.94,24.88
Warren,Lopatcong,23,7,"6,599",78.68,27.78,34.08,24.32
Atlantic,Buena,2,2,"3,085",72.01,48.03,51.97,24.8
Atlantic,Buena Vista,2,2,"5,389",74.69,57.14,42.86,28.86
Atlantic,Absecon,2,2,"6,645",75.36,51.95,48.05,39.41
Atlantic,Atlantic City,2,2,"23,824",63.12,84.87,15.13,26.16
Bergen,Dumont,39,5,"12,396",70.77,34.72,20.41,31.08
Bergen,Englewood,37,9,"18,878",66.47,60.11,9.19,21.63
Bergen,Englewood Cliffs,37,9,"3,954",73.85,31.32,22.46,56.58
Bergen,East Rutherford,36,9,"5,797",59.84,34.78,24.46,30.5
Bergen,Elmwood Park,35,9,"13,355",66.89,38.33,20.18,27.25
Bergen,Garfield,35,9,"16,554",52.05,39.59,12.88,11.57
Bergen,Hackensack,37,5,"25,220",57.07,50.15,11.23,18.26
Monmouth,Roosevelt,12,4,660,78.95,62.42,13.94,34.24
Bergen,Fairview,32,8,"6,017",42.41,51,11.3,19.03
Monmouth,Sea Bright,13,6,"1,194",89.24,25.96,33.84,44.56
Bergen,Franklin Lakes,40,5,"9,052",81.41,18.49,41.13,18.47
Monmouth,Ocean Twp,11,4,"20,326",76.58,30.95,23.05,32.13
Monmouth,Red Bank,11,4,"7,159",59.83,39.77,20.85,32.39
Bergen,Harrington Park,39,5,"3,655",77.27,28.88,23.82,44.1
Monmouth,Monmouth Beach,13,6,"2,810",86.76,23.38,34.66,24.98
Monmouth,Neptune City,11,4,"3,537",76.96,30.65,25.45,42.89
Warren,Independence,24,5,"4,338",80.17,20.77,36.45,22.45
Monmouth,Marlboro,13,6,"31,067",78.37,28.26,22.74,22.35
Warren,Hope,24,5,"1,487",80.08,19.5,43.96,28.31
Monmouth,Middletown,13,"4, 6","51,071",78.2,24.8,30.44,26.22
Monmouth,Long Branch,11,6,"15,080",49.87,37.61,17.31,23.68
Monmouth,Manasquan,30,4,"4,858",83.67,27.81,31.99,34.42
Atlantic,Hamilton,2,2,"19,257",74.8,56.61,43.39,28.54
Atlantic,Longport,2,2,769,90.36,33.58,66.42,43.17
Atlantic,Somers Point,2,2,"7,506",73.78,48.59,51.41,32.04
Monmouth,Sea Girt,30,4,"1,673",94.79,15.3,53.56,49.07
Bergen,Allendale,40,5,"5,381",79.91,24.68,34.11,30.77
Bergen,Bogota,37,5,"5,576",66.9,45.79,15.41,38.13
Bergen,Cliffside Park,36,9,"14,019",53.64,45.6,13.01,24.2
Bergen,Demarest,39,5,"3,601",73.58,35.56,18.49,27.66
Bergen,Ho-Ho-Kus,40,5,"3,432",84.43,22.74,40.85,21.53
Bergen,Haworth,39,5,"2,793",82.32,36.72,20.4,37.45
Bergen,Leonia,37,9,"5,728",63.4,57.82,12.38,26.47
Bergen,Lodi,38,5,"14,833",60.92,41.73,14.01,19.47
Bergen,Lyndhurst,36,9,"14,408",62.87,33.92,20.79,19.16
Bergen,Maywood,38,5,"6,718",69.88,37.38,19.43,25.23
Bergen,Midland Park,40,5,"5,502",76.25,23.6,39.79,33.79
Bergen,Moonachie,36,9,"1,768",65.43,41.97,14.03,16.8
Bergen,New Milford,38,5,"11,202",68.18,34.48,20.13,25.33
Bergen,Northvale,37,5,"3,307",67.12,34.39,20.94,33.9
Monmouth,West Long Branch,11,6,"5,108",64.81,24.37,27.78,26.74
Morris,Boonton Twp,25,11,"3,664",86.48,21.64,45.44,34.93
Mercer,Princeton (as of 1/1/2013),16,12,"21,614",69.3,54.98,10.19,28.58
Monmouth,Shrewsbury Twp,11,4,709,71.4,41.61,18.62,32.02
Atlantic,Corbin City,1,2,374,76.17,28.73,71.27,47.06
Monmouth,Spring Lake Heights,30,4,"4,014",88.79,27.01,34.5,38.19
Monmouth,Union Beach,13,6,"4,032",76,24.95,26.84,24.03
Atlantic,Folsom,2,2,"1,344",75.72,33.53,66.47,27.6
Monmouth,Upper Freehold,12,4,"5,550",78.42,20.16,42.47,28.79
Atlantic,Egg Harbor,2,2,"2,857",70.51,67.42,32.58,31.26
Passaic,Pompton Lakes,40,11,"7,877",71.7,26.52,28.98,28.74
Passaic,North Haledon,35,11,"6,719",80.04,22.03,39.62,26.91
Passaic,Wayne,40,11,"39,382",73.79,28.01,32.79,25.41
Passaic,Ringwood,39,5,"9,325",76.45,25.63,32.49,43.62
Ocean,Surf City,9,2,"1,072",89.41,18.34,44.88,40.58
Ocean,Seaside Heights,10,3,"1,448",49.76,20.77,35.35,24.38
Passaic,Haledon,35,9,"5,264",63.48,48.97,13.05,17.53
Passaic,Bloomingdale,39,11,"5,589",69.33,30.42,26.68,32.03
Salem,Elmer,3,2,849,64.91,24.59,14.75,35.22
Salem,Mannington,3,2,975,56.82,27.94,23.53,38.36
Hunterdon,Lebanon Twp,23,7,"4,890",80.41,19.8,42.41,32.31
Hunterdon,Raritan Twp,16,7,"18,039",80.6,24.81,33.5,38.05
Hunterdon,Kingwood,23,7,"3,419",91.39,16.67,49.76,45.54
Hunterdon,Lebanon,23,7,"1,226",74.57,23.74,39.31,38.09
Hunterdon,West Amwell,15,7,"2,349",85.76,28.31,35.29,39.38
Hunterdon,Readington,16,7,"12,982",81.94,19.78,46.63,37.53
Hunterdon,Tewksbury,23,7,"4,974",86.11,19.44,46.54,37.27
Hunterdon,Hampton Boro,23,7,"1,011",76.71,22.45,35.51,28.88
Hunterdon,High Bridge,23,7,"2,677",78.5,28.13,34.82,33.43
Hunterdon,Frenchtown,23,7,"1,068",79.05,43.45,23.69,39.89
Camden,Tavistock,6,1,6,120,50,0,0
Camden,Winslow,4,1,"28,593",74.02,48.76,14.16,24.27
Camden,Pine Hill,8,1,"7,153",68.67,45.88,12.22,27.14
Camden,Somerdale,6,1,"4,015",73.31,50.94,11.92,25.16
Cape May,Stone Harbor,1,2,642,79.26,12.97,70.73,50.16
Cape May,Lower Township,1,2,"16,151",75.69,23.54,39.54,44.5
Cape May,Ocean City,1,2,"9,327",85.02,23.48,42.95,43.74
Cumberland,Hopewell,1,2,"3,102",71.31,25.66,31.53,35.75
Cumberland,Commercial,1,2,"3,046",61.96,34.41,23.41,28.1
Cape May,Wildwood Crest,1,2,"2,510",82.35,21.86,43.53,45.66
Cape May,West Cape May,1,2,831,83.02,38.18,33.09,54.27
Burlington,Springfield,8,3,"2,562",78.66,19.67,47.23,37.59
Burlington,Westampton,8,3,"6,611",76.44,45.94,19.27,35.05
Burlington,Woodland,8,3,"1,037",58.65,14.56,57.47,31.44
Camden,Berlin,8,1,"5,566",73.86,31.92,23.73,29.03
Camden,Brooklawn,5,1,"1,294",68.18,40.65,13.25,26.28
Camden,Chesilhurst,4,1,"1,163",71.88,54.61,10.9,36.46
Camden,Gibbsboro,6,1,"1,751",78.94,39.76,22.82,30.15
Camden,Gloucester Twp,4,1,"47,037",73.61,43.19,16.79,24.53
Camden,Haddonfield,6,1,"10,228",90.38,40.36,23.09,37.03
Camden,Oaklyn,6,1,"3,080",77.88,47.09,16.05,26.66
Camden,Magnolia,5,1,"3,254",76.15,44.31,15.09,25.02
Burlington,Riverton,7,3,"2,083",77.58,38.31,31.73,51.7
Burlington,Pemberton,8,3,938,70.85,34.43,31.66,34.54
Burlington,Riverside,7,3,"4,388",56.14,36.65,19.3,27.78
Burlington,North Hanover,12,3,"3,831",51.29,24.28,32.73,25.03
Burlington,Palmyra,7,1,"5,209",72.96,43.39,21.29,38.82
Burlington,Mount Laurel,7,3,"33,318",80.77,36.99,23.86,27.15
Burlington,New Hanover,12,3,860,11.01,25.81,42.44,34.42
Burlington,Medford,8,3,"19,647",501.97,26.48,34.6,33.86
Burlington,Mount Holly,8,3,"6,210",65.05,41.98,18.31,28.1
Burlington,Southampton,8,3,"8,359",82.8,25.3,39.26,39.07
Burlington,Shamong,8,3,"5,052",79.35,19.75,36.58,34.09
Burlington,Medford Lakes,8,3,"3,441",14.71,28.45,32.49,38.3
Hunterdon,Union Twp,23,7,"3,661",67.04,22.48,39.55,31.82
Hunterdon,Stockton,16,7,433,84.57,46.42,29.56,45.5
Hunterdon,Lambertville,15,7,"3,419",89.95,58.23,15.53,45.54
Mercer,Lawrence,15,12,"23,690",73.04,45.35,15.47,28.37
Mercer,Trenton,15,12,"43,175",51.89,54.26,4.97,15.51
Mercer,Ewing,15,12,"25,584",70.47,48.87,13.86,24.93
Mercer,Hightstown,14,12,"3,386",63.84,42.31,18.88,28.15
Middlesex,Highland Park,18,6,"10,211",74.47,-,-,26.27
Middlesex,Middlesex Borough,22,12,"9,629",70.39,-,-,32.87
Middlesex,Carteret,19,6,"15,417",65.86,-,-,14.67
Middlesex,East Brunswick,18,12,"35,825",75.25,-,-,21.64
Hudson,Bayonne,31,"8, 10","40,026",61.68,50.9,11.76,18.88
Gloucester,Woodbury Heights,3,1,"2,308",77.87,38.72,20.11,30.11
Hudson,Jersey City,"31, 33","8, 10","153,650",58.63,54.43,7.68,21.75
Hudson,Harrison,32,8,"7,707",38.42,61.38,7.09,25.86
Hudson,Secaucus,32,9,"12,146",55.48,50.77,12.62,18.24
Hunterdon,Bethlehem,23,7,"3,134",81.32,21.09,42.37,35.71
Hunterdon,Clinton,23,7,"2,085",77.6,29.59,31.94,47.91
Hunterdon,Delaware,16,7,"3,903",88.2,26.54,40.94,42.81
Hunterdon,Franklin Twp,23,7,"2,543",72.29,20.57,45.26,35.04
Hunterdon,Glen Gardner,23,7,"1,240",64.89,25.65,36.69,30.89
Hunterdon,Holland,23,7,"4,149",81.4,20.66,42.28,34.39
Gloucester,Paulsboro,3,1,"3,672",62.73,58.12,9.28,30.28
Gloucester,Newfield,3,2,"1,237",80.17,39.89,25.06,29.51
Gloucester,National Park,3,1,"2,040",69.32,45.62,15.56,26.72
