county,municipal,ld,cd,registered,registered_perc,democrats_perc,republicans_perc,turnout
Burlington,Maple Shade,6,1,"12,227",66.18,43.28,18.88,20.59
Union,Berkeley Heights,21,7,"10,231",76.56,27.59,35.74,39
Sussex,Walpack,24,5,13,118.18,23.08,61.54,53.85
Burlington,Fieldsboro,7,3,410,74.28,47.56,20.98,39.02
Sussex,Ogdensburg,24,11,"1,676",74.32,22.97,38.6,27.68
Burlington,Edgewater Park,7,3,"5,560",64.3,47.68,15.7,27.79
Sussex,Stanhope,24,11,"2,572",77.8,26.71,33.59,29.59
Burlington,Lumberton,8,3,"9,196",75.43,37.77,24.17,33.53
Sussex,Sandyston,24,5,"1,519",83.32,18.96,49.97,35.48
Burlington,Florence,7,3,"8,843",70.82,33.5,26.01,28.78
Burlington,Burlington Twp,7,3,"16,504",73.05,47.06,16.29,29.51
Burlington,Cinnaminson,7,3,"12,627",77.27,33.1,31.73,34.43
Burlington,Delanco,7,3,"3,476",78.47,40.79,23.3,36.08
Burlington,Eastampton,8,3,"4,349",70.78,36.26,22.53,31.39
Union,Cranford,21,7,"18,109",75.28,35.74,23.28,40.09
Union,Elizabeth,20,8,"60,813",47.06,56.7,7.13,12.32
Union,Garwood,21,7,"3,230",74.22,36.32,22.29,41.15
Burlington,Bordentown Twp,7,3,"8,193",68.77,32.82,20.93,25.4
Cumberland,Maurice River,1,2,"2,245",37.74,24.81,29.67,43.43
Cumberland,Shiloh,1,2,319,65.5,21.63,41.07,44.2
Cumberland,Stow Creek,1,2,997,72.77,21.87,40.32,45.74
Cumberland,Vineland,1,2,"39,648",66.7,34.35,18.53,26.73
Middlesex,New Brunswick,17,6,"23,395",42.02,-,-,11.08
Middlesex,Plainsboro,14,12,"13,891",60.7,-,-,18.57
Morris,Parsippany-Troy Hills,26,11,"35,194",68.26,29.24,33.34,29.84
Morris,Randolph,25,11,"19,844",78.19,28.48,30.16,27.16
Cape May,Dennis,1,2,"4,942",80.44,23.17,36.24,43.99
Cape May,Middle Township,1,2,"14,529",79.94,25.77,33.59,39.07
Cape May,Avalon,1,2,"1,185",95.87,16.07,56.44,45.06
