county,municipal,muni_budget_pc,muni_budget
Warren,White,484,"2,253,317"
Morris,Chatham,"2,151","18,575,492"
Gloucester,Woodbury,"1,458","14,278,020"
Morris,Chatham Twp,"1,849","18,710,466"
Hudson,West New York,"1,606","84,658,002"
Morris,Chester Twp,"2,449","18,787,247"
Morris,Denville,"1,762","28,979,906"
Hunterdon,Milford,"1,299","1,534,211"
Morris,East Hanover,"2,798","30,562,213"
Ocean,Point Pleasant,"1,110","20,839,268"
Cumberland,Downe,"1,379","1,995,781"
Morris,Hanover,"2,283","32,530,865"
Ocean,Plumsted,462,"3,960,270"
Essex,Essex Fells,"2,816","5,879,220"
Morris,Harding,"3,036","11,415,429"
Gloucester,Elk,"1,364","5,691,432"
Ocean,Point Pleasant Beach,"3,368","15,329,728"
Gloucester,Pitman,"1,039","9,082,584"
Camden,Audubon Park,"1,106","1,108,500"
Camden,Lawnside,"1,700","4,900,000"
Cape May,Cape May,"5,863","20,062,630"
Hudson,Weehawken,"3,319","48,577,655"
Middlesex,Jamesburg,996,"5,862,856"
Hudson,Union City,"2,106","143,203,511"
Middlesex,Helmetta,973,"2,097,857"
Ocean,Lavallette,"4,887","9,119,211"
Hunterdon,Bloomsbury,"1,160","973,643"
Ocean,Little Egg Harbor,"1,131","24,554,631"
Middlesex,Milltown,"1,537","10,710,740"
Hunterdon,Alexandria,"1,034","4,913,333"
Ocean,Long Beach,"9,518","29,228,417"
Middlesex,Metuchen,"1,784","25,950,573"
Ocean,Manchester,825,"36,056,865"
Ocean,Mantoloking,"21,220","5,283,897"
Middlesex,Edison,"1,439","143,526,216"
Ocean,Ocean Twp,"1,377","12,513,850"
Ocean,Pine Beach,"1,334","2,914,062"
Middlesex,Sayreville,"1,399","61,817,965"
Hudson,East Newark,"1,450","3,770,216"
Gloucester,Woolwich,888,"11,512,025"
Hudson,Hoboken,"2,277","119,968,074"
Middlesex,North Brunswick,"1,231","51,012,947"
Hudson,Guttenberg,"1,801","20,028,879"
Middlesex,Monroe,"1,374","61,893,345"
Middlesex,Piscataway,"1,352","76,850,783"
Hudson,North Bergen,"1,620","98,267,655"
Middlesex,Perth Amboy,"1,532","78,754,438"
Hudson,Kearny,"1,878","77,099,065"
Morris,Mendham Twp,"2,259","12,788,517"
Morris,Morris Plains,793,"17,565,695"
Morris,Florham Park,"2,201","25,300,942"
Morris,Long Hill,"2,158","18,195,548"
Morris,Chester,"3,454","5,609,457"
Morris,Dover,"1,859","32,959,055"
Morris,Boonton,"1,786","15,928,148"
Morris,Butler,"2,174","16,635,932"
Morris,Mount Arlington,"2,489","14,562,780"
Morris,Mountain Lakes,"2,612","11,031,479"
Atlantic,Estell Manor,846,"1,462,579"
Atlantic,Galloway,783,"27,885,688"
Hunterdon,Flemington,"1,289","5,901,090"
Atlantic,Egg Harbor Twp,"1,030","43,506,354"
Hunterdon,Clinton Twp,"1,106","13,898,446"
Hunterdon,East Amwell,821,"3,168,000"
Hunterdon,Califon,"1,967","2,057,293"
Atlantic,Margate,"5,341","31,327,843"
Atlantic,Hammonton,"1,016","14,156,208"
Atlantic,Linwood,"1,870","12,450,876"
Union,Scotch Plains,"1,068","25,919,818"
Union,Summit,"2,153","47,145,975"
Warren,Belvidere,"1,321","3,382,006"
Union,Kenilworth,"2,051","16,797,498"
Warren,Franklin Twp,764,"2,311,595"
Morris,Roxbury,"1,601","36,093,549"
Union,New Providence,"1,675","22,772,968"
Union,Hillside,"2,129","46,764,851"
Union,Linden,"2,608","110,463,333"
Union,Roselle,"1,961","42,778,403"
Union,Mountainside,"1,962","13,508,840"
Union,Rahway,"1,874","56,025,630"
Union,Plainfield,"1,726","86,858,098"
Union,Springfield,"1,916","33,466,261"
Union,Roselle Park,"1,347","18,308,856"
Union,Westfield,"1,672","49,333,880"
Union,Union Twp,"1,693","99,001,023"
Warren,Hackettstown,"1,141","10,678,074"
Warren,Allamuchy,839,"3,917,021"
Atlantic,Weymouth,523,"1,481,757"
Bergen,Alpine,"9,692","17,871,733"
Bergen,Bergenfield,"1,490","40,709,638"
Bergen,Carlstadt,"3,841","23,553,136"
Atlantic,Mullica,"1,016","5,949,883"
Atlantic,Pleasantville,"1,513","30,486,660"
Atlantic,Port Republic,"1,172","1,232,494"
Atlantic,Ventnor,"3,024","29,927,310"
Morris,Pequannock,"1,543","23,087,757"
Bergen,Closter,"1,941","16,522,067"
Bergen,Cresskill,"1,880","16,295,914"
Warren,Mansfield,962,"7,078,576"
Warren,Oxford,"1,216","2,946,062"
Warren,Knowlton,826,"2,417,518"
Warren,Lopatcong,"1,108","9,295,117"
Atlantic,Buena,"1,009","4,324,441"
Atlantic,Buena Vista,690,"4,975,471"
Atlantic,Absecon,"1,220","10,755,000"
Atlantic,Atlantic City,"5,800","218,901,494"
Bergen,Dumont,"1,351","23,660,151"
Bergen,Englewood,"2,627","74,619,466"
Bergen,Englewood Cliffs,"3,431","18,369,156"
Bergen,East Rutherford,"2,829","27,408,951"
Bergen,Elmwood Park,"1,396","27,873,799"
Bergen,Garfield,"1,198","38,089,183"
Bergen,Hackensack,"2,422","107,038,794"
Monmouth,Roosevelt,"1,400","1,170,792"
Bergen,Fairview,"1,409","19,992,605"
Monmouth,Sea Bright,"4,574","6,119,946"
Bergen,Franklin Lakes,"1,754","19,498,075"
Monmouth,Ocean Twp,"1,431","37,989,968"
Monmouth,Red Bank,"1,919","22,959,004"
Bergen,Harrington Park,"1,488","7,038,705"
Monmouth,Monmouth Beach,"2,311","7,484,804"
Monmouth,Neptune City,"1,730","7,953,278"
Warren,Independence,874,"4,731,691"
Monmouth,Marlboro,"1,004","39,778,998"
Warren,Hope,720,"1,337,175"
Monmouth,Middletown,"1,258","82,184,259"
Monmouth,Long Branch,"1,962","59,345,793"
Monmouth,Manasquan,"1,930","11,204,527"
Atlantic,Hamilton,"1,092","28,114,010"
Atlantic,Longport,"10,174","8,657,729"
Atlantic,Somers Point,"1,609","16,369,182"
Monmouth,Sea Girt,"4,101","7,238,903"
Bergen,Allendale,"2,237","15,060,853"
Bergen,Bogota,"1,155","9,624,658"
Bergen,Cliffside Park,"1,453","37,978,918"
Bergen,Demarest,"2,120","10,375,980"
Bergen,Ho-Ho-Kus,"2,423","9,849,743"
Bergen,Haworth,"2,359","8,004,195"
Bergen,Leonia,"1,718","15,520,204"
Bergen,Lodi,"1,553","37,812,503"
Bergen,Lyndhurst,"1,764","40,430,465"
Bergen,Maywood,"1,870","17,979,869"
Bergen,Midland Park,"1,629","11,757,973"
